# A_comp,Total Capital Cost,Total Operating Cost,LCOW,SEC,Pressure,Recovery,Membrane Area,Membrane Permeability,LCOW Direct CAPEX Pump,LCOW Indirect CAPEX Pump,LCOW Direct CAPEX ERD,LCOW Indirect CAPEX ERD,LCOW Direct CAPEX RO,LCOW Indirect CAPEX RO,LCOW Fixed OPEX Pump,LCOW Fixed OPEX RO,LCOW Fixed OPEX ERD,LCOW Variable OPEX Electricity
1.000000e-12,4.090462e+04,3.776265e+03,1.392380e+00,5.761546e+00,7.500000e+06,1.989253e-01,5.000000e+01,1.000000e-12,3.087511e-01,3.087511e-01,2.700101e-02,2.700101e-02,2.624566e-02,2.624566e-02,1.852507e-01,6.823871e-02,1.620060e-02,3.986940e-01
1.050505e-12,4.087253e+04,3.802890e+03,1.339710e+00,5.594846e+00,7.500000e+06,2.073612e-01,5.000000e+01,1.050505e-12,2.961904e-01,2.961904e-01,2.563010e-02,2.563010e-02,2.517792e-02,2.517792e-02,1.777143e-01,6.546260e-02,1.537806e-02,3.871585e-01
1.101010e-12,4.084103e+04,3.829075e+03,1.292029e+00,5.444025e+00,7.500000e+06,2.156415e-01,5.000000e+01,1.101010e-12,2.848172e-01,2.848172e-01,2.438879e-02,2.438879e-02,2.421113e-02,2.421113e-02,1.708903e-01,6.294894e-02,1.463327e-02,3.767218e-01
1.151515e-12,4.081012e+04,3.854817e+03,1.248679e+00,5.306993e+00,7.500000e+06,2.237665e-01,5.000000e+01,1.151515e-12,2.744754e-01,2.744754e-01,2.326006e-02,2.326006e-02,2.333202e-02,2.333202e-02,1.646852e-01,6.066324e-02,1.395604e-02,3.672393e-01
1.202020e-12,4.077980e+04,3.880116e+03,1.209115e+00,5.182008e+00,7.500000e+06,2.317369e-01,5.000000e+01,1.202020e-12,2.650351e-01,2.650351e-01,2.222973e-02,2.222973e-02,2.252954e-02,2.252954e-02,1.590210e-01,5.857679e-02,1.333784e-02,3.585905e-01
1.252525e-12,4.075007e+04,3.904971e+03,1.172879e+00,5.067609e+00,7.500000e+06,2.395533e-01,5.000000e+01,1.252525e-12,2.563872e-01,2.563872e-01,2.128590e-02,2.128590e-02,2.179442e-02,2.179442e-02,1.538323e-01,5.666549e-02,1.277154e-02,3.506742e-01
1.303030e-12,4.072092e+04,3.929381e+03,1.139582e+00,4.962560e+00,7.500000e+06,2.472167e-01,5.000000e+01,1.303030e-12,2.484396e-01,2.484396e-01,2.041848e-02,2.041848e-02,2.111882e-02,2.111882e-02,1.490637e-01,5.490894e-02,1.225109e-02,3.434049e-01
1.353535e-12,4.069235e+04,3.953348e+03,1.108896e+00,4.865808e+00,7.500000e+06,2.547281e-01,5.000000e+01,1.353535e-12,2.411136e-01,2.411136e-01,1.961892e-02,1.961892e-02,2.049607e-02,2.049607e-02,1.446681e-01,5.328978e-02,1.177135e-02,3.367097e-01
1.404040e-12,4.066435e+04,3.976872e+03,1.080537e+00,4.776451e+00,7.500000e+06,2.620889e-01,5.000000e+01,1.404040e-12,2.343419e-01,2.343419e-01,1.887987e-02,1.887987e-02,1.992044e-02,1.992044e-02,1.406051e-01,5.179313e-02,1.132792e-02,3.305263e-01
1.454545e-12,4.063692e+04,3.999956e+03,1.054261e+00,4.693712e+00,7.500000e+06,2.693004e-01,5.000000e+01,1.454545e-12,2.280665e-01,2.280665e-01,1.819498e-02,1.819498e-02,1.938699e-02,1.938699e-02,1.368399e-01,5.040617e-02,1.091699e-02,3.248009e-01
