bv,cb,species,resin,c0,c_norm,curve_id,mw,molar_vol
15131.51332,0.044225717,PFOA,a694e,15.8,0.002799096,1,0.41407,0.000272
56630.53237,0.060186879,PFOA,a694e,15.8,0.003809296,1,0.41407,0.000272
69166.69438,0.065008479,PFOA,a694e,15.8,0.004114461,1,0.41407,0.000272
77002.62694,1.971868453,PFOA,a694e,15.8,0.124801801,1,0.41407,0.000272
85257.53999,3.417351112,PFOA,a694e,15.8,0.216288045,1,0.41407,0.000272
103017.657,4.693412696,PFOA,a694e,15.8,0.297051436,1,0.41407,0.000272
109548.4321,6.311309148,PFOA,a694e,15.8,0.399449946,1,0.41407,0.000272
135124.5303,8.801915339,PFOA,a694e,15.8,0.557083249,1,0.41407,0.000272
152490.6062,11.40474845,PFOA,a694e,15.8,0.721819522,1,0.41407,0.000272
178060.0539,13.66458285,PFOA,a694e,15.8,0.864847016,1,0.41407,0.000272
201431.5166,14.6543411,PFOA,a694e,15.8,0.927489943,1,0.41407,0.000272
210083.7961,14.88843813,PFOA,a694e,15.8,0.942306211,1,0.41407,0.000272
230410.9999,15.24241014,PFOA,a694e,15.8,0.964709502,1,0.41407,0.000272
100135.4561,0.065176909,PFBS,a694e,14.8,0.004403845,2,0.3001,0.0001954
151476.7932,0.196080742,PFBS,a694e,14.8,0.013248699,2,0.3001,0.0001954
177215.1899,2.272705844,PFBS,a694e,14.8,0.153561206,2,0.3001,0.0001954
201265.8228,3.343115763,PFBS,a694e,14.8,0.2258862,2,0.3001,0.0001954
209704.6414,4.24011346,PFBS,a694e,14.8,0.286494153,2,0.3001,0.0001954
229957.8059,5.364974974,PFBS,a694e,14.8,0.362498309,2,0.3001,0.0001954
254430.3797,6.547273884,PFBS,a694e,14.8,0.50654696,2,0.3001,0.0001954
