temperature_C,do_mg_L,synthetic_potential_difference_V
25,0.0,0.595005
25,0.5,0.3524549999999999
25,1.0,0.10495499999999991
25,1.5,0.1017857142857142
25,2.0,0.09857142857142853
25,2.5,0.09535714285714275
25,3.0,0.09214285714285708
25,3.5,0.08892857142857136
25,4.0,0.08571428571428569
25,4.5,0.0824999999999999
25,5.0,0.07928571428571424
25,5.5,0.07607142857142851
25,6.0,0.07285714285714279
25,6.5,0.06964285714285712
25,7.0,0.06642857142857134
25,7.5,0.06321428571428567
25,8.0,0.05999999999999994
30,0.0,0.5502547499999999
30,0.5,0.31983225
30,1.0,0.08470724999999996
30,1.5,0.0816964285714285
30,2.0,0.07864285714285707
30,2.5,0.07558928571428564
30,3.0,0.0725357142857142
30,3.5,0.06948214285714277
30,4.0,0.06642857142857134
30,4.5,0.0633749999999999
30,5.0,0.06032142857142847
30,5.5,0.05726785714285709
30,6.0,0.05421428571428566
30,6.5,0.051160714285714226
30,7.0,0.04810714285714279
30,7.5,0.04505357142857136
30,8.0,0.041999999999999926
35,0.0,0.5055045
35,0.5,0.28720949999999995
35,1.0,0.06445949999999995
35,1.5,0.061607142857142805
35,2.0,0.05871428571428572
35,2.5,0.055821428571428466
35,3.0,0.05292857142857138
35,3.5,0.05003571428571424
35,4.0,0.0471428571428571
35,4.5,0.044249999999999956
35,5.0,0.04135714285714276
35,5.5,0.03846428571428567
35,6.0,0.03557142857142853
35,6.5,0.032678571428571446
35,7.0,0.02978571428571425
35,7.5,0.026892857142857052
35,8.0,0.023999999999999966
40,0.0,0.46075425
40,0.5,0.25458675000000003
40,1.0,0.04421174999999994
40,1.5,0.041517857142857106
40,2.0,0.0387857142857142
40,2.5,0.03605357142857135
40,3.0,0.0333214285714285
40,3.5,0.030589285714285652
40,4.0,0.027857142857142803
40,4.5,0.025124999999999953
40,5.0,0.022392857142857048
40,5.5,0.019660714285714254
40,6.0,0.01692857142857135
40,6.5,0.014196428571428554
40,7.0,0.011464285714285649
40,7.5,0.0087321428571428
40,8.0,0.00599999999999995
45,0.0,0.416004
45,0.5,0.221964
45,1.0,0.023963999999999985
45,1.5,0.021428571428571408
45,2.0,0.01885714285714285
45,2.5,0.016285714285714237
45,3.0,0.013714285714285679
45,3.5,0.011142857142857121
45,4.0,0.008571428571428563
45,4.5,0.00599999999999995
45,5.0,0.003428571428571392
45,5.5,0.0008571428571428341
45,6.0,-0.0017142857142857792
45,6.5,-0.004285714285714282
45,7.0,-0.006857142857142895
45,7.5,-0.009428571428571453
45,8.0,-0.01200000000000001
50,0.0,0.37125375
50,0.5,0.18934125000000002
50,1.0,0.0037162499999999765
50,1.5,0.001339285714285654
50,2.0,-0.001071428571428612
50,2.5,-0.0034821428571429336
50,3.0,-0.0058928571428572
50,3.5,-0.008303571428571466
50,4.0,-0.010714285714285787
50,4.5,-0.013125000000000053
50,5.0,-0.01553571428571432
50,5.5,-0.017946428571428585
50,6.0,-0.02035714285714285
50,6.5,-0.022767857142857117
50,7.0,-0.025178571428571495
50,7.5,-0.02758928571428576
50,8.0,-0.030000000000000027
55,0.0,0.3265035
55,0.5,0.15671849999999993
55,1.0,-0.016531500000000088
55,1.5,-0.018750000000000044
55,2.0,-0.021000000000000074
55,2.5,-0.02325000000000005
55,3.0,-0.025500000000000078
55,3.5,-0.027750000000000052
55,4.0,-0.030000000000000027
55,4.5,-0.032250000000000056
55,5.0,-0.034500000000000086
55,5.5,-0.03675000000000006
55,6.0,-0.039000000000000035
55,6.5,-0.04125000000000001
55,7.0,-0.043500000000000094
55,7.5,-0.04575000000000001
55,8.0,-0.04800000000000004
60,0.0,0.28175325
60,0.5,0.12409575
60,1.0,-0.03677925000000004
60,1.5,-0.03883928571428574
60,2.0,-0.040928571428571425
60,2.5,-0.04301785714285716
60,3.0,-0.0451071428571429
60,3.5,-0.04719642857142864
60,4.0,-0.049285714285714266
60,4.5,-0.05137500000000006
60,5.0,-0.05346428571428574
60,5.5,-0.05555357142857148
60,6.0,-0.057642857142857135
60,6.5,-0.05973214285714287
60,7.0,-0.06182142857142861
60,7.5,-0.06391071428571432
60,8.0,-0.066
65,0.0,0.23700300000000002
65,0.5,0.09147299999999997
65,1.0,-0.05702700000000002
65,1.5,-0.05892857142857144
65,2.0,-0.06085714285714289
65,2.5,-0.06278571428571436
65,3.0,-0.06471428571428575
65,3.5,-0.0666428571428572
65,4.0,-0.06857142857142862
65,4.5,-0.07050000000000006
65,5.0,-0.07242857142857145
65,5.5,-0.0743571428571429
65,6.0,-0.07628571428571432
65,6.5,-0.07821428571428574
65,7.0,-0.08014285714285718
65,7.5,-0.08207142857142863
65,8.0,-0.08400000000000005
70,0.0,0.19225274999999997
70,0.5,0.05885024999999999
70,1.0,-0.07727475
70,1.5,-0.07901785714285714
70,2.0,-0.0807857142857143
70,2.5,-0.08255357142857145
70,3.0,-0.0843214285714286
70,3.5,-0.08608928571428573
70,4.0,-0.08785714285714288
70,4.5,-0.08962500000000001
70,5.0,-0.09139285714285716
70,5.5,-0.09316071428571429
70,6.0,-0.09492857142857142
70,6.5,-0.09669642857142857
70,7.0,-0.09846428571428573
70,7.5,-0.10023214285714288
70,8.0,-0.10200000000000001
75,0.0,0.14750249999999998
75,0.5,0.02622749999999996
75,1.0,-0.09752250000000004
75,1.5,-0.0991071428571429
75,2.0,-0.10071428571428573
75,2.5,-0.10232142857142862
75,3.0,-0.10392857142857145
75,3.5,-0.10553571428571432
75,4.0,-0.10714285714285715
75,4.5,-0.10875000000000004
75,5.0,-0.11035714285714288
75,5.5,-0.11196428571428574
75,6.0,-0.1135714285714286
75,6.5,-0.11517857142857144
75,7.0,-0.11678571428571433
75,7.5,-0.11839285714285716
75,8.0,-0.12000000000000002
80,0.0,0.10275224999999993
80,0.5,-0.0063952500000000745
80,1.0,-0.11777025000000005
